Cod_Estable,Cod_Evaluacion,Num_Boleta,Bases_Informes,Cod_Bases_Informes,Barcode,Corr_Año,Region,Cod_Region,Departamento,Cod_Depa,Municipio,Cod_Muni,Direc_Estable,Tel_Estable,Nivel,Cod_Nivel,Rama_Abstracta,Cod_Rama_Abstracta,Fecha_Nacimiento,Edad,Edad_RECO,Sexo_RECO,Area,Cod_Area,Jornada,Cod_Jornada,Ciclo,Cod_Ciclo,Cod_Distrito,Año_Cierre,Etnia_RECO,Identificacion_Etnica_RECO,IE_Idioma_Materno_Recodificado,IE_Idioma_Materno_RECO,IE_Destreza_Dominio_Idioma_Materno,Idiom_Mater_Hab,Idiom_Mater_Ent,Idiom_Mater_Lee,Idiom_Mater_Esc,IE_Frecuencia_Uso_Idioma_Materno,IE_Frecuencia_Uso_Idioma_Materno_RECO,IE_Segundo_Idioma_Materno_RECO,IE_Habilidad_Dominio_Segunda_Lengua,Entiendo_Oirlo,Entiendo_Leerlo,Puedo_Escribir,Lo_Hablo,Ed_Asistio_Preprimaria,Ed_Area_De_Escuela_Finalizo_Primaria,Ed_Repitio_Algun_Grado_Primaria,Ed_Que_Grados_Repitio,Gr_Primero,Gr_Segundo,Gr_Tercero,Gr_Cuarto,Gr_Quinto,Gr_Sexto,Ed_Trabaja_Actualmente,Ed_Jornada_Trabaja_RECO,Fm_Asistio_Escuela_Papa,Fm_Grado_Alcanzo_Papa_RECO,Fm_Asistio_Escuela_Mama,Fm_Grado_Alcanzo_Mama_RECO,CC_Material_Predomina_En_Piso_Casa,Pp_Tierra,Pp_Madera_Rustica,Pp_Torta_Cemento,Pp_Piso_Granito,Pp_Piso_Ceramico,Pp_Madera_Fina,CC_Material_Predomina_En_Paredes_Casa,Pa_Madera_Rustica,Pa_Madera_Fina,Pa_Adobe,Pa_Lamina,Pa_Block,Pa_Ladrillo,CC_Material_Predomina_En_Techo_Casa,Pt_Material_Perecedero,Pt_Lamina,Pt_Teja,Pt_Duralita,Pt_Terraza_Fundida,CC_Como_Obtiene_El_Agua_Para_Lavar,Al_Fuente_Natural,Al_Chorro_Publico,Al_Tuberia,Al_Comprada,CC_Agua_Utiliza_Para_Beber,Ab_Natural,Ab_Chorro,Ab_Comprada_Cisterna,Ab_Comprada_Embotellada,CC_Electricidad,CC_Ambiente_Cocina_Separada,CC_Combustible_Utiliza_Cocina,CU_Leña,CU_Gas,CU_Electricidad,CC_Cuenta_Linea_Telefonica,CC_Tiene_Familia_Celular,CC_Servicio_Tv_Cable,CC_Servicio_Internet,CC_Electrodomesticos,Televisor,Refrigerador,Equipo_Sonido,VHS_DVD,Lavadora_Ropa,Secadora_Ropa,Horno_Microondas,Computadoras,Consola_Videojuegos,Otros_Electrodomesticos,CC_Tipo_Sanitarios,Cc_No_Hay,Cc_Letrina,Cc_Inodoro,Cc_Familia_Automovil,CC_Como_Se_Moviliza_Usualmente,Cc_A_Pie,Cc_Bicicleta,Cc_Motocicleta,Cc_Publico,Cc_Bus_Escolar,Cc_Automovil,CC_Tiempo_Casa_Al_Establecimiento,Cc_0_15,Cc_16_30,Cc_31_45,Cc_46_60,Cc_61_75,Cc_76_90,Cc_91_105,Cc_M_105,Cc_Casa_Donde_Vive_Familia,Cc_Casa_Alquilada,Cc_Casa_Propia,Cc_Cuantos_Niveles_Construccion_Casa,Cc_Cuantos_Niveles_1,Cc_Cuantos_Niveles_2,Cc_Cuantos_Niveles_3,Cc_Cuantos_Niveles_4,Cc_Cuantos_Niveles_5,Cc_Cuantos_Niveles_Mas5,Cc_Cuantos_Dormitorios_Hay_En_Casa,Cc_Cuantos_Dormitorios_1,Cc_Cuantos_Dormitorios_2,Cc_Cuantos_Dormitorios_3,Cc_Cuantos_Dormitorios_4,Cc_Cuantos_Dormitorios_5,Cc_Cuantos_Dormitorios_Mas5,Cc_Cuantas_Personas_Viven_En_Casa,Cc_Cuantas_Personas_1,Cc_Cuantas_Personas_2,Cc_Cuantas_Personas_3,Cc_Cuantas_Personas_4,Cc_Cuantas_Personas_5,Cc_Cuantas_Personas_Mas5,Cc_Recibe_Remesas,Tec_Poseen_Comp_Estable_Uso_Alumnos,Tec_Utiliza_Computadora_Realizar_Tareas_Estable,Tec_Periodos_Semana_Utiliza_Computadora,Tec_Periodos_Semana_Utiliza_Computadora_RECO,Tec_Horas_Diarias_Uso_Compu_Estab,Tec_Horas_Diarias_Uso_Compu_Estab_RECO,Tec_Horas_Diarias_Uso_Compu_Casa,Tec_Horas_Diarias_Uso_Compu_Casa_RECO,Tec_Utiliza_Internet_Para_Investigaciones,Tec_Recibido_Curso_Computacion,Mate_Periodos_Matematicas_Semana,Mate_Periodos_Matematicas_Semana_RECO,Mate_Minutos_Dura_Periodo_Matematicas,Mate_Minutos_Dura_Periodo_Matematicas_RECO,Lect_Dias_Semana_Lee_Periodicos,Lect_Dias_Semana_Lee_Periodicos_RECO,Lect_Periodico_Prefiere_Leer,Lc_Prensa_Libre,Lc_Siglo_XXI,Lc_El_Periodico,Lc_Nuestro_Diario,Lc_Diario_Centroamerica,Lc_Al_Dia,Lc_La_Hora,Lc_Publinews,Lc_Otro,Lect_Libros_Completos_Ha_Leido,Lect_Libros_Completos_Ha_Leido_RECO,Lect_Periodos_Lectura_Semana,Lect_Periodos_Lectura_Semana_RECO,Lect_Minutos_Dura_Periodo_Lectura,Lect_Minutos_Dura_Periodo_Lectura_RECO,Measure_Mate,Measure_Lect,Desempeño_Mate,Desempeño_Lect,Logro_Mate,Logro_Lect
05-02-2557-46,0850452607,211618,Ordinaria,1,05992894,17,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,09-10-1999,17,2,0,Rural,12,Doble,33,Anual,1,05-007,2017,2,2,2,1,"Hab,Ent,Lee,Esc",1,1,1,1,Mucho,3,5,,0,0,0,0,1,12,0,,0,0,0,0,0,0,0,0,#NULL!,0,1,3,Torta_Cemento,0,0,1,0,0,0,Block,0,0,0,0,1,0,Lamina,0,1,0,0,0,Tuberia,0,0,1,0,Comprada_Embotellada,0,0,0,1,1,1,Gas,0,1,0,0,1,1,0,"Televisor,Refrigerador,Equipo_Sonido,Lavadora_Ropa",1,1,1,0,1,0,0,0,0,0,Inodoro,0,0,1,0,Publico,0,0,0,1,0,0,16_30,0,1,0,0,0,0,0,0,Propia,0,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,1,4,4,3,3,0,0,1,1,5,5,40_49,4,2,2,"Prensalibre,Nuestrodiario",1,0,0,1,0,0,0,0,0,3_4,2,1,1,40_49,4,0.84,1.849,2,4,0,1
05-02-2557-46,7450680155,211627,Ordinaria,1,05615247,17,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,18-10-1999,17,2,0,Rural,12,Doble,33,Anual,1,05-007,2017,2,2,2,1,"Hab,Ent,Lee,Esc",1,1,1,1,Mucho,3,0,,0,0,0,0,1,11,0,,0,0,0,0,0,0,0,0,1,3,1,3,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Lamina,0,1,0,0,0,Tuberia,0,0,1,0,Comprada_Embotellada,0,0,0,1,1,1,Gas,0,1,0,1,1,1,1,"Televisor,Refrigerador,Equipo_Sonido,Lavadora_Ropa,Horno_Microondas,Computadoras",1,1,1,0,1,0,1,1,0,0,Inodoro,0,0,1,1,Bus_Escolar,0,0,0,0,1,0,16_30,0,1,0,0,0,0,0,0,Propia,0,1,1,1,0,0,0,0,0,4,0,0,0,1,0,0,3,0,0,1,0,0,0,0,1,1,3,3,2,2,Mas4,5,1,0,5,5,40_49,4,1,1,Nuestrodiario,0,0,0,1,0,0,0,0,0,5_6,3,1,1,40_49,4,-0.415,0.852,1,3,0,1
05-02-2557-46,6157092814,211653,Ordinaria,1,05712725,17,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,14-10-1999,17,2,1,Rural,12,Doble,33,Anual,1,05-007,2017,2,2,2,1,"Hab,Ent,Lee,Esc",1,1,1,1,Mucho,3,0,,0,0,0,0,1,11,0,,0,0,0,0,0,0,0,0,2,0,1,3,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Terraza_Fundida,0,0,0,0,1,Tuberia,0,0,1,0,Comprada_Embotellada,0,0,0,1,1,0,Gas,0,1,0,0,1,1,0,"Televisor,Refrigerador,Equipo_Sonido,Lavadora_Ropa,Horno_Microondas",1,1,1,0,1,0,1,0,0,0,Inodoro,0,0,1,0,Publico,0,0,0,1,0,0,46_60,0,0,0,1,0,0,0,0,Alquilada,1,0,2,0,1,0,0,0,0,3,0,0,1,0,0,0,4,0,0,0,1,0,0,0,1,1,4,4,2,2,1,1,1,1,5,5,40_49,4,0,0,,0,0,0,0,0,0,0,0,0,5_6,3,1,1,40_49,4,0.84,0.239,2,2,0,0
05-02-2557-46,1870374271,211633,Ordinaria,1,05744907,17,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,15-07-1999,17,2,1,Rural,12,Doble,33,Anual,1,05-007,2017,2,2,2,1,"Hab,Ent,Lee,Esc",1,1,1,1,Mucho,3,0,,0,0,0,0,1,11,0,,0,0,0,0,0,0,1,5,1,1,1,3,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Lamina,0,1,0,0,0,Tuberia,0,0,1,0,Comprada_Embotellada,0,0,0,1,1,1,Gas,0,1,0,0,1,1,1,"Televisor,Refrigerador,VHS_DVD,Lavadora_Ropa,Secadora_Ropa,Horno_Microondas,Computadoras,Consola_Videojuegos,Otros_Electrodomesticos",1,1,0,1,1,1,1,1,1,1,Inodoro,0,0,1,1,Automovil,0,0,0,0,0,1,16_30,0,1,0,0,0,0,0,0,Propia,0,1,1,1,0,0,0,0,0,Mas5,0,0,0,0,0,1,4,0,0,0,1,0,0,1,1,0,0,0,3,3,0,0,1,1,5,5,40_49,4,0,0,,0,0,0,0,0,0,0,0,0,1_2,1,1,1,40_49,4,0.733,0.424,2,2,0,0
05-02-2557-46,7434347819,211671,Ordinaria,1,05413815,17,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,03-04-2000,17,2,0,Rural,12,Doble,33,Anual,1,05-007,2017,2,2,2,1,"Hab,Ent,Lee,Esc",1,1,1,1,Mucho,3,0,,0,0,0,0,1,11,0,,0,0,0,0,0,0,0,0,1,3,1,3,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Lamina,0,1,0,0,0,Tuberia,0,0,1,0,Comprada_Cisterna,0,0,1,0,1,0,"Leña,Gas,Electricidad",1,1,1,1,1,1,1,"Televisor,Refrigerador,Equipo_Sonido,Lavadora_Ropa,Horno_Microondas,Computadoras,Otros_Electrodomesticos",1,1,1,0,1,0,1,1,0,1,Inodoro,0,0,1,1,Bus_Escolar,0,0,0,0,1,0,16_30,0,1,0,0,0,0,0,0,Propia,0,1,1,1,0,0,0,0,0,3,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,1,1,1,2,2,4,4,1,1,5,5,40_49,4,1,1,Prensalibre,1,0,0,0,0,0,0,0,0,1_2,1,1,1,40_49,4,0.572,1.672,2,4,0,1
05-02-2557-46,0894646001,211644,Ordinaria,1,05437269,17,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,19-01-2000,17,2,1,Rural,12,Doble,33,Anual,1,05-007,2017,2,2,2,1,"Hab,Ent,Lee,Esc",1,1,1,1,Mucho,3,5,,0,0,0,0,1,12,0,,0,0,0,0,0,0,1,5,1,1,1,1,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Lamina,0,1,0,0,0,Tuberia,0,0,1,0,Comprada_Embotellada,0,0,0,1,1,1,"Leña,Gas",1,1,0,0,1,1,0,"Televisor,Refrigerador,Equipo_Sonido,Lavadora_Ropa,Horno_Microondas,Otros_Electrodomesticos",1,1,1,0,1,0,1,0,0,1,Inodoro,0,0,1,1,Publico,0,0,0,1,0,0,31_45,0,0,1,0,0,0,0,0,Propia,0,1,1,1,0,0,0,0,0,3,0,0,1,0,0,0,3,0,0,1,0,0,0,0,1,1,3,3,2,2,0,0,1,1,5,5,40_49,4,3,3,"Prensalibre,Otro",1,0,0,0,0,0,0,0,1,Mas6,4,1,1,40_49,4,2.522,2.174,4,4,1,1
05-02-2557-46,5516245725,211639,Ordinaria,1,05722368,17,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,19-05-2001,16,1,1,Rural,12,Doble,33,Anual,1,05-007,2017,2,2,2,1,"Hab,Ent,Lee,Esc",1,1,1,1,Mucho,3,0,,0,0,0,0,1,11,0,,0,0,0,0,0,0,0,0,1,4,1,4,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Terraza_Fundida,0,0,0,0,1,Tuberia,0,0,1,0,Comprada_Embotellada,0,0,0,1,1,1,Gas,0,1,0,1,1,1,1,"Televisor,Refrigerador,VHS_DVD,Horno_Microondas,Computadoras",1,1,0,1,0,0,1,1,0,0,Inodoro,0,0,1,1,Publico,0,0,0,1,0,0,16_30,0,1,0,0,0,0,0,0,Propia,0,1,1,1,0,0,0,0,0,4,0,0,0,1,0,0,3,0,0,1,0,0,0,0,1,1,6,6,2,2,4,4,1,1,5,5,40_49,4,3,3,Prensalibre,1,0,0,0,0,0,0,0,0,5_6,3,1,1,40_49,4,1.276,1.267,3,4,1,1
05-02-2557-46,0294328889,211632,Ordinaria,1,05006270,17,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,25-11-1998,18,3,0,Rural,12,Doble,33,Anual,1,05-007,2017,2,2,2,1,"Hab,Ent,Lee,Esc",1,1,1,1,Mucho,3,0,,0,0,0,0,1,11,0,,0,0,0,0,0,0,0,0,1,3,1,3,Torta_Cemento,0,0,1,0,0,0,Block,0,0,0,0,1,0,Lamina,0,1,0,0,0,Fuente_Natural,1,0,0,0,Comprada_Embotellada,0,0,0,1,1,1,Gas,0,1,0,1,1,1,1,"Televisor,Refrigerador,Equipo_Sonido,VHS_DVD,Lavadora_Ropa,Horno_Microondas,Computadoras",1,1,1,1,1,0,1,1,0,0,Inodoro,0,0,1,1,Bus_Escolar,0,0,0,0,1,0,16_30,0,1,0,0,0,0,0,0,Propia,0,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,1,3,3,2,2,1,1,1,0,5,5,40_49,4,1,1,Prensalibre,1,0,0,0,0,0,0,0,0,Mas6,4,1,1,40_49,4,0.778,2.174,2,4,0,1
05-02-2557-46,0173834465,211664,Ordinaria,1,05740933,17,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,11-10-2000,16,1,1,Rural,12,Doble,33,Anual,1,05-007,2017,2,2,2,1,"Hab,Ent,Lee,Esc",1,1,1,1,Mucho,3,5,,0,0,0,0,1,12,0,,0,0,0,0,0,0,#NULL!,0,1,4,1,4,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Terraza_Fundida,0,0,0,0,1,Fuente_Natural,1,0,0,0,Natural,1,0,0,0,1,0,Gas,0,1,0,1,1,1,1,"Televisor,Refrigerador,Equipo_Sonido,VHS_DVD,Lavadora_Ropa,Horno_Microondas,Computadoras,Consola_Videojuegos,Otros_Electrodomesticos",1,1,1,1,1,0,1,1,1,1,Inodoro,0,0,1,1,Bus_Escolar,0,0,0,0,1,0,31_45,0,0,1,0,0,0,0,0,Propia,0,1,2,0,1,0,0,0,0,3,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,1,3,3,2,2,2,2,1,1,5,5,40_49,4,1,1,Prensalibre,1,0,0,0,0,0,0,0,0,3_4,2,1,1,40_49,4,0.986,0.658,2,3,0,1
05-02-2557-46,1670666490,211669,Ordinaria,1,05323454,17,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,11-08-1999,17,2,1,Rural,12,Doble,33,Anual,1,05-007,2017,2,2,2,1,"Hab,Ent,Lee,Esc",1,1,1,1,Mucho,3,5,,0,0,0,0,1,11,0,,0,0,0,0,0,0,0,0,1,4,1,4,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Terraza_Fundida,0,0,0,0,1,Tuberia,0,0,1,0,Comprada_Embotellada,0,0,0,1,1,1,Gas,0,1,0,1,1,1,1,"Televisor,Refrigerador,Lavadora_Ropa,Secadora_Ropa,Horno_Microondas,Computadoras,Consola_Videojuegos,Otros_Electrodomesticos",1,1,0,0,1,1,1,1,1,1,Inodoro,0,0,1,1,Automovil,0,0,0,0,0,1,16_30,0,1,0,0,0,0,0,0,Propia,0,1,2,0,1,0,0,0,0,4,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,1,3,3,0,0,1,1,1,1,5,5,40_49,4,2,2,Prensalibre,1,0,0,0,0,0,0,0,0,3_4,2,1,1,40_49,4,1.091,1.169,3,4,1,1
05-02-2557-46,9067072935,211619,Ordinaria,1,05709598,17,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,02-05-2000,17,2,0,Rural,12,Doble,33,Anual,1,05-007,2017,2,2,2,1,"Hab,Ent,Lee,Esc",1,1,1,1,Mucho,3,0,,0,0,0,0,1,11,0,,0,0,0,0,0,0,0,0,1,3,1,3,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Lamina,0,1,0,0,0,Tuberia,0,0,1,0,Comprada_Embotellada,0,0,0,1,1,0,Gas,0,1,0,0,1,1,0,"Televisor,Refrigerador,Equipo_Sonido,VHS_DVD,Lavadora_Ropa,Horno_Microondas,Computadoras",1,1,1,1,1,0,1,1,0,0,Inodoro,0,0,1,1,Automovil,0,0,0,0,0,1,16_30,0,1,0,0,0,0,0,0,Propia,0,1,1,1,0,0,0,0,0,3,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,1,3,3,,9,Mas4,5,1,1,5,5,40_49,4,1,1,Nuestrodiario,0,0,0,1,0,0,0,0,0,5_6,3,1,1,40_49,4,0.413,0.714,2,3,0,1
05-02-2557-46,8020462650,211617,Ordinaria,1,05601085,17,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,15-01-1999,18,3,1,Rural,12,Doble,33,Anual,1,05-007,2017,2,2,2,1,"Hab,Ent,Lee,Esc",1,1,1,1,Mucho,3,0,,0,0,0,0,0,11,0,,0,0,0,0,0,0,0,0,1,3,1,3,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Terraza_Fundida,0,0,0,0,1,Tuberia,0,0,1,0,Comprada_Embotellada,0,0,0,1,1,1,Gas,0,1,0,1,1,1,1,"Televisor,Refrigerador,Equipo_Sonido,VHS_DVD,Lavadora_Ropa,Horno_Microondas,Computadoras",1,1,1,1,1,0,1,1,0,0,Inodoro,0,0,1,1,Motocicleta,0,0,1,0,0,0,0_15,1,0,0,0,0,0,0,0,Propia,0,1,1,1,0,0,0,0,0,4,0,0,0,1,0,0,3,0,0,1,0,0,0,0,1,1,3,3,2,2,2,2,1,1,5,5,40_49,4,3,3,Nuestrodiario,0,0,0,1,0,0,0,0,0,5_6,3,1,1,40_49,4,-0.797,0.816,1,3,0,1
05-02-2557-46,5353284309,211637,Ordinaria,1,05278994,17,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,09-07-2000,16,1,0,Rural,12,Doble,33,Anual,1,05-007,2017,2,2,2,1,"Hab,Ent,Lee,Esc",1,1,1,1,Mucho,3,5,,0,0,0,0,1,12,0,,0,0,0,0,0,0,0,0,1,1,1,3,Madera_Fina,0,0,0,0,0,1,Madera_Fina,0,1,0,0,0,0,Lamina,0,1,0,0,0,Comprada,0,0,0,1,Comprada_Embotellada,0,0,0,1,1,1,"Leña,Gas,Electricidad",1,1,1,0,1,1,1,"Televisor,Refrigerador,Equipo_Sonido,VHS_DVD,Lavadora_Ropa,Horno_Microondas,Computadoras",1,1,1,1,1,0,1,1,0,0,Inodoro,0,0,1,1,Automovil,0,0,0,0,0,1,M_105,0,0,0,0,0,0,0,1,Propia,0,1,1,1,0,0,0,0,0,4,0,0,0,1,0,0,3,0,0,1,0,0,0,0,1,1,3,3,2,2,1,1,1,1,5,5,40_49,4,0,0,,0,0,0,0,0,0,0,0,0,5_6,3,1,1,40_49,4,1.055,2.034,3,4,1,1
05-02-2557-46,5928292338,211649,Ordinaria,1,05793928,17,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,23-12-1999,17,2,0,Rural,12,Doble,33,Anual,1,05-007,2017,2,2,2,1,"Hab,Ent,Lee,Esc",1,1,1,1,Mucho,3,0,,0,0,0,0,1,11,0,,0,0,0,0,0,0,0,0,1,3,1,3,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Terraza_Fundida,0,0,0,0,1,Tuberia,0,0,1,0,Comprada_Embotellada,0,0,0,1,1,1,Gas,0,1,0,0,1,1,1,"Televisor,Refrigerador,VHS_DVD,Lavadora_Ropa,Horno_Microondas,Computadoras",1,1,0,1,1,0,1,1,0,0,Inodoro,0,0,1,1,Bus_Escolar,0,0,0,0,1,0,31_45,0,0,1,0,0,0,0,0,Propia,0,1,2,0,1,0,0,0,0,4,0,0,0,1,0,0,3,0,0,1,0,0,0,0,1,1,3,3,2,2,2,2,1,1,5,5,40_49,4,1,1,Prensalibre,1,0,0,0,0,0,0,0,0,5_6,3,1,1,40_49,4,0.154,1.405,2,4,0,1
05-02-2557-46,5676035028,211650,Ordinaria,1,05060197,17,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,14-09-1999,17,2,1,Rural,12,Doble,33,Anual,1,05-007,2017,2,2,2,1,"Hab,Ent,Lee,Esc",1,1,1,1,Mucho,3,0,,0,0,0,0,1,11,0,,0,0,0,0,0,0,0,0,1,3,1,3,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Terraza_Fundida,0,0,0,0,1,Tuberia,0,0,1,0,Comprada_Embotellada,0,0,0,1,1,1,Gas,0,1,0,0,1,1,1,"Televisor,Refrigerador,VHS_DVD,Lavadora_Ropa,Horno_Microondas,Computadoras",1,1,0,1,1,0,1,1,0,0,Inodoro,0,0,1,1,Bus_Escolar,0,0,0,0,1,0,16_30,0,1,0,0,0,0,0,0,Propia,0,1,2,0,1,0,0,0,0,3,0,0,1,0,0,0,3,0,0,1,0,0,0,0,1,1,1,1,2,2,3,3,1,1,5,5,40_49,4,0,0,,0,0,0,0,0,0,0,0,0,Mas6,4,1,1,40_49,4,1.653,0.954,4,4,1,1
05-02-2557-46,9327017708,211613,Ordinaria,1,05218132,17,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,07-03-2000,17,2,1,Rural,12,Doble,33,Anual,1,05-007,2017,2,2,2,1,"Hab,Ent,Lee,Esc",1,1,1,1,Mucho,3,5,,0,0,0,0,1,12,0,,0,0,0,0,0,0,0,0,1,3,1,5,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Terraza_Fundida,0,0,0,0,1,Tuberia,0,0,1,0,Comprada_Embotellada,0,0,0,1,1,1,"Leña,Gas,Electricidad",1,1,1,1,1,1,1,"Televisor,Refrigerador,Equipo_Sonido,VHS_DVD,Lavadora_Ropa,Horno_Microondas,Computadoras,Consola_Videojuegos,Otros_Electrodomesticos",1,1,1,1,1,0,1,1,1,1,Inodoro,0,0,1,1,Automovil,0,0,0,0,0,1,0_15,1,0,0,0,0,0,0,0,Propia,0,1,3,0,0,1,0,0,0,5,0,0,0,0,1,0,4,0,0,0,1,0,0,0,1,1,2,2,1,1,1,1,1,1,5,5,30_39,3,1,1,Prensalibre,1,0,0,0,0,0,0,0,0,1_2,1,1,1,30_39,3,1.39,1.684,3,4,1,1
