Cod_Estable,Cod_Evaluacion,Cantidad_Estud,Num_Boleta,Bases_Informes,Cod_Bases_Informes,Barcode,Corr_Año,Region,Cod_Region,Departamento,Cod_Depa,Municipio,Cod_Muni,Direc_Estable,Tel_Estable,Nivel,Cod_Nivel,Rama_Abstracta,Cod_Rama_Abstracta,Fecha_Nacimiento,Edad,Edad_RECO,Sexo_RECO,Area,Cod_Area,Jornada,Cod_Jornada,Ciclo,Cod_Ciclo,Cod_Distrito,Año_Cierre,Etnia_RECO,Identificacion_Etnica_RECO,IE_Idioma_Materno_Recodificado,IE_Idioma_Materno_RECO,IE_Destreza_Dominio_Idioma_Materno,Idiom_Mater_Hab,Idiom_Mater_Ent,Idiom_Mater_Lee,Idiom_Mater_Esc,IE_Frecuencia_Uso_Idioma_Materno,IE_Frecuencia_Uso_Idioma_Materno_RECO,IE_Segundo_Idioma_Materno_RECO,IE_Habilidad_Dominio_Segunda_Lengua,Entiendo_Oirlo,Entiendo_Leerlo,Puedo_Escribir,Lo_Hablo,Ed_Asistio_Preprimaria,Ed_Area_De_Escuela_Finalizo_Primaria,Ed_Repitio_Algun_Grado_Primaria,Ed_Que_Grados_Repitio,Gr_Primero,Gr_Segundo,Gr_Tercero,Gr_Cuarto,Gr_Quinto,Gr_Sexto,Ed_Trabaja_Actualmente,Ed_Jornada_Trabaja_RECO,Fm_Asistio_Escuela_Papa,Fm_Grado_Alcanzo_Papa_RECO,Fm_Asistio_Escuela_Mama,Fm_Grado_Alcanzo_Mama_RECO,CC_Material_Predomina_En_Piso_Casa,Pp_Tierra,Pp_Madera_Rustica,Pp_Torta_Cemento,Pp_Piso_Granito,Pp_Piso_Ceramico,Pp_Madera_Fina,CC_Material_Predomina_En_Paredes_Casa,Pa_Madera_Rustica,Pa_Madera_Fina,Pa_Adobe,Pa_Lamina,Pa_Block,Pa_Ladrillo,CC_Material_Predomina_En_Techo_Casa,Pt_Material_Perecedero,Pt_Lamina,Pt_Teja,Pt_Duralita,Pt_Terraza_Fundida,CC_Como_Obtiene_El_Agua_Para_Lavar,Al_Fuente_Natural,Al_Chorro_Publico,Al_Tuberia,Al_Comprada,CC_Agua_Utiliza_Para_Beber,Ab_Natural,Ab_Chorro,Ab_Comprada_Cisterna,Ab_Comprada_Embotellada,CC_Electricidad,CC_Ambiente_Cocina_Separada,CC_Combustible_Utiliza_Cocina,CU_Leña,CU_Gas,CU_Electricidad,CC_Cuenta_Linea_Telefonica,CC_Tiene_Familia_Celular,CC_Servicio_Tv_Cable,CC_Servicio_Internet,CC_Electrodomesticos,Televisor,Refrigerador,Equipo_Sonido,VHS_DVD,Lavadora_Ropa,Secadora_Ropa,Horno_Microondas,Computadoras,Consola_Videojuegos,Otros_Electrodomesticos,CC_Tipo_Sanitarios,Cc_No_Hay,Cc_Letrina,Cc_Inodoro,Cc_Familia_Automovil,CC_Como_Se_Moviliza_Usualmente,Cc_A_Pie,Cc_Bicicleta,Cc_Motocicleta,Cc_Publico,Cc_Bus_Escolar,Cc_Automovil,CC_Tiempo_Casa_Al_Establecimiento,Cc_0_15,Cc_16_30,Cc_31_45,Cc_46_60,Cc_61_75,Cc_76_90,Cc_91_105,Cc_M_105,Cc_Casa_Donde_Vive_Familia,Cc_Casa_Alquilada,Cc_Casa_Propia,Cc_Cuantos_Niveles_Construccion_Casa,Cc_Cuantos_Niveles_1,Cc_Cuantos_Niveles_2,Cc_Cuantos_Niveles_3,Cc_Cuantos_Niveles_4,Cc_Cuantos_Niveles_5,Cc_Cuantos_Niveles_Mas5,Cc_Cuantos_Dormitorios_Hay_En_Casa,Cc_Cuantos_Dormitorios_1,Cc_Cuantos_Dormitorios_2,Cc_Cuantos_Dormitorios_3,Cc_Cuantos_Dormitorios_4,Cc_Cuantos_Dormitorios_5,Cc_Cuantos_Dormitorios_Mas5,Cc_Cuantas_Personas_Viven_En_Casa,Cc_Cuantas_Personas_1,Cc_Cuantas_Personas_2,Cc_Cuantas_Personas_3,Cc_Cuantas_Personas_4,Cc_Cuantas_Personas_5,Cc_Cuantas_Personas_Mas5,Cc_Recibe_Remesas,Tec_Poseen_Comp_Estable_Uso_Alumnos,Tec_Utiliza_Computadora_Realizar_Tareas_Estable,Tec_Periodos_Semana_Utiliza_Computadora,Tec_Periodos_Semana_Utiliza_Computadora_RECO,Tec_Horas_Diarias_Uso_Compu_Estab,Tec_Horas_Diarias_Uso_Compu_Estab_RECO,Tec_Horas_Diarias_Uso_Compu_Casa,Tec_Horas_Diarias_Uso_Compu_Casa_RECO,Tec_Utiliza_Internet_Para_Investigaciones,Tec_Recibido_Curso_Computacion,Mate_Periodos_Matematicas_Semana,Mate_Periodos_Matematicas_Semana_RECO,Mate_Minutos_Dura_Periodo_Matematicas,Mate_Minutos_Dura_Periodo_Matematicas_RECO,Lect_Dias_Semana_Lee_Periodicos,Lect_Dias_Semana_Lee_Periodicos_RECO,Lect_Periodico_Prefiere_Leer,Lc_Prensa_Libre,Lc_Siglo_XXI,Lc_El_Periodico,Lc_Nuestro_Diario,Lc_Diario_Centroamerica,Lc_Al_Dia,Lc_La_Hora,Lc_Publinews,Lc_Otro,Lect_Libros_Completos_Ha_Leido,Lect_Libros_Completos_Ha_Leido_RECO,Lect_Periodos_Lectura_Semana,Lect_Periodos_Lectura_Semana_RECO,Lect_Minutos_Dura_Periodo_Lectura,Lect_Minutos_Dura_Periodo_Lectura_RECO,Measure_Mate,Measure_Lect,Desempeño_Mate,Desempeño_Lect,Logro_Mate,Logro_Lect
05-02-2557-46,7488915729,53,467429,Ordinaria,1,05733578,18,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,21/08/2000,17,2,1,Rural,12,Doble,33,Anual,1,05-007,2018,2,2,2,1,Hab Ent Lee Esc,1,1,1,1,Mucho,3,0,,0,0,0,0,1,11,0,,0,0,0,0,0,0,0,0,1,2,1,3,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Lamina,0,1,0,0,0,Tuberia,0,0,1,0,Comprada_Embotellada,0,0,0,1,1,1,Gas,0,1,0,0,1,0,1,REFRIGERADOR HORNO_MICROONDAS COMPUTADORAS OTROS_ELECTRODOMESTICOS,0,1,0,0,0,0,1,1,0,1,Inodoro,0,0,1,1,Publico,0,0,0,1,0,0,46_60,0,0,0,1,0,0,0,0,Alquilada,1,0,1,1,0,0,0,0,0,3,0,0,1,0,0,0,4,0,0,0,1,0,0,0,1,1,2,2,0,0,4,4,1,1,Mas6,7,40_49,4,2,2,Prensalibre,1,0,0,0,0,0,0,0,0,5_6,3,2,2,40_49,4,2.057,1.515,4,4,1,1
05-02-2557-46,9453853296,53,467453,Ordinaria,1,05705429,18,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,24/02/2001,17,2,1,Rural,12,Doble,33,Anual,1,05-007,2018,2,2,2,1,Ent Lee Esc,0,1,1,1,Mucho,3,0,,0,0,0,0,1,12,0,,0,0,0,0,0,0,0,0,1,1,1,3,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Lamina,0,1,0,0,0,Fuente_Natural,1,0,0,0,Comprada_Cisterna,0,0,1,0,1,1,Leña  Gas,1,1,0,0,0,1,0,TELEVISOR REFRIGERADOR HORNO_MICROONDAS COMPUTADORAS,1,1,0,0,0,0,1,1,0,0,Inodoro,0,0,1,1,Publico,0,0,0,1,0,0,16_30,0,1,0,0,0,0,0,0,Propia,0,1,1,1,0,0,0,0,0,5,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,3,3,2,2,4,4,1,1,6,6,40_49,4,2,2,Nuestrodiario,0,0,0,1,0,0,0,0,0,5_6,3,3,3,40_49,4,-0.51,0.744,1,3,0,1
05-02-2557-46,6031766191,53,467412,Ordinaria,1,05960489,18,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,21/01/2002,16,1,0,Rural,12,Doble,33,Anual,1,05-007,2018,2,2,2,1,Hab,1,0,0,0,Mucho,3,0,Puedo_Escribir,0,0,1,0,1,12,0,,0,0,0,0,0,0,0,0,1,3,1,4,Piso_Granito,0,0,0,1,0,0,Block,0,0,0,0,1,0,Lamina,0,1,0,0,0,Tuberia,0,0,1,0,Comprada_Embotellada,0,0,0,1,1,1,Gas  Electricidad,0,1,1,0,1,1,0,TELEVISOR REFRIGERADOR EQUIPO_SONIDO HORNO_MICROONDAS COMPUTADORAS CONSOLA_VIDEOJUEGOS OTROS_ELECTRODOMESTICOS,1,1,1,0,0,0,1,1,1,1,Inodoro,0,0,1,0,Bus_Escolar,0,0,0,0,1,0,16_30,0,1,0,0,0,0,0,0,Propia,0,1,1,1,0,0,0,0,0,3,0,0,1,0,0,0,2,0,1,0,0,0,0,1,1,1,2,2,0,0,3,3,1,1,6,6,40_49,4,1,1,Periodico,0,0,1,0,0,0,0,0,0,5_6,3,4,4,40_49,4,0.18,0.288,2,2,0,0
05-02-2557-46,7797746358,53,467433,Ordinaria,1,05931153,18,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,07/11/2000,17,2,1,Rural,12,Doble,33,Anual,1,05-007,2018,2,2,2,1,Hab Ent Lee Esc,1,1,1,1,Mucho,3,5,,0,0,0,0,1,11,0,,0,0,0,0,0,0,0,0,1,3,1,3,Piso_Granito,0,0,0,1,0,0,Block,0,0,0,0,1,0,Terraza_Fundida,0,0,0,0,1,Tuberia,0,0,1,0,Comprada_Embotellada,0,0,0,1,1,1,Gas,0,1,0,1,1,1,1,TELEVISOR REFRIGERADOR EQUIPO_SONIDO VHS_DVD LAVADORA_ROPA HORNO_MICROONDAS COMPUTADORAS,1,1,1,1,1,0,1,1,0,0,Inodoro,0,0,1,1,Bus_Escolar,0,0,0,0,1,0,0_15,1,0,0,0,0,0,0,0,Propia,0,1,1,1,0,0,0,0,0,3,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,6,6,40_49,4,1,1,Nuestrodiario,0,0,0,1,0,0,0,0,0,3_4,2,4,4,40_49,4,2.362,2.614,4,4,1,1
05-02-2557-46,2561993612,53,467436,Ordinaria,1,05366571,18,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,05/06/2002,15,1,1,Rural,12,Doble,33,Anual,1,05-007,2018,2,2,2,1,Hab Ent Lee Esc,1,1,1,1,Mucho,3,1,,0,0,0,0,1,12,0,,0,0,0,0,0,0,0,0,1,3,1,4,Torta_Cemento,0,0,1,0,0,0,Block,0,0,0,0,1,0,Lamina,0,1,0,0,0,Chorro_Publico,0,1,0,0,Natural,1,0,0,0,1,0,Gas,0,1,0,0,1,1,0,TELEVISOR REFRIGERADOR VHS_DVD COMPUTADORAS OTROS_ELECTRODOMESTICOS,1,1,0,1,0,0,0,1,0,1,Inodoro,0,0,1,1,Bus_Escolar,0,0,0,0,1,0,31_45,0,0,1,0,0,0,0,0,Propia,0,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,1,3,3,1,1,1,1,1,1,4,4,30_39,3,1,1,Nuestrodiario,0,0,0,1,0,0,0,0,0,1_2,1,2,2,30_39,3,0.073,0.841,2,3,0,1
05-02-2557-46,9132561259,53,467428,Ordinaria,1,05994009,18,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,17/08/2000,17,2,0,Rural,12,Doble,33,Anual,1,05-007,2018,2,2,2,1,Hab Ent Lee Esc,1,1,1,1,Mucho,3,0,,0,0,0,0,1,12,0,,0,0,0,0,0,0,0,0,1,2,1,1,Torta_Cemento,0,0,1,0,0,0,Block,0,0,0,0,1,0,Lamina,0,1,0,0,0,Tuberia,0,0,1,0,Chorro,0,1,0,0,1,1,Leña  Gas  Electricidad,1,1,1,0,1,1,0,TELEVISOR REFRIGERADOR EQUIPO_SONIDO LAVADORA_ROPA OTROS_ELECTRODOMESTICOS,1,1,1,0,1,0,0,0,0,1,Inodoro,0,0,1,0,Automovil,0,0,0,0,0,1,0_15,1,0,0,0,0,0,0,0,Propia,0,1,1,1,0,0,0,0,0,4,0,0,0,1,0,0,3,0,0,1,0,0,0,0,1,1,4,4,4,4,1,1,1,1,6,6,40_49,4,5,5,Prensalibre,1,0,0,0,0,0,0,0,0,Mas6,4,6,6,40_49,4,0.594,0.841,2,3,0,1
05-02-2557-46,2485367006,53,467426,Ordinaria,1,05027213,18,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,07/02/2001,17,2,0,Rural,12,Doble,33,Anual,1,05-007,2018,2,2,2,1,Hab,1,0,0,0,Mucho,3,0,,0,0,0,0,1,12,0,,0,0,0,0,0,0,0,0,1,3,1,3,Piso_Granito,0,0,0,1,0,0,Block,0,0,0,0,1,0,Teja,0,0,1,0,0,Tuberia,0,0,1,0,Comprada_Embotellada,0,0,0,1,1,0,Gas,0,1,0,0,0,1,0,TELEVISOR REFRIGERADOR EQUIPO_SONIDO LAVADORA_ROPA OTROS_ELECTRODOMESTICOS,1,1,1,0,1,0,0,0,0,1,Inodoro,0,0,1,0,Bus_Escolar,0,0,0,0,1,0,0_15,1,0,0,0,0,0,0,0,Propia,0,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,1,3,3,2,2,0,0,1,1,Mas6,7,30_39,3,3,3,Prensalibre,1,0,0,0,0,0,0,0,0,Mas6,4,3,3,50_59,5,0.986,1.731,2,4,0,1
05-02-2557-46,0053688942,53,467452,Ordinaria,1,05662596,18,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,06/05/2001,16,1,0,Rural,12,Doble,33,Anual,1,05-007,2018,2,2,2,1,Hab Ent Lee Esc,1,1,1,1,Mucho,3,0,,0,0,0,0,1,11,0,,0,0,0,0,0,0,0,0,1,1,1,3,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Terraza_Fundida,0,0,0,0,1,Tuberia,0,0,1,0,Chorro,0,1,0,0,1,1,Leña  Gas,1,1,0,0,1,1,1,TELEVISOR REFRIGERADOR VHS_DVD HORNO_MICROONDAS COMPUTADORAS CONSOLA_VIDEOJUEGOS,1,1,0,1,0,0,1,1,1,0,Inodoro,0,0,1,1,Automovil,0,0,0,0,0,1,0_15,1,0,0,0,0,0,0,0,Propia,0,1,3,0,0,1,0,0,0,5,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,1,2,2,2,2,2,2,1,1,6,6,40_49,4,1,1,Nuestrodiario,0,0,0,1,0,0,0,0,0,5_6,3,2,2,40_49,4,0.073,0.376,2,2,0,0
05-02-2557-46,8835103888,53,467435,Ordinaria,1,05051933,18,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,02/03/2001,17,2,0,Rural,12,Doble,33,Anual,1,05-007,2018,2,2,2,1,Hab Ent Lee Esc,1,1,1,1,Mucho,3,5,,0,0,0,0,1,12,0,,0,0,0,0,0,0,0,0,1,4,1,3,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Terraza_Fundida,0,0,0,0,1,Tuberia,0,0,1,0,Comprada_Embotellada,0,0,0,1,1,1,Gas,0,1,0,1,1,1,1,TELEVISOR REFRIGERADOR EQUIPO_SONIDO VHS_DVD LAVADORA_ROPA HORNO_MICROONDAS COMPUTADORAS CONSOLA_VIDEOJUEGOS OTROS_ELECTRODOMESTICOS,1,1,1,1,1,0,1,1,1,1,Inodoro,0,0,1,1,Automovil,0,0,0,0,0,1,16_30,0,1,0,0,0,0,0,0,Propia,0,1,2,0,1,0,0,0,0,3,0,0,1,0,0,0,4,0,0,0,1,0,0,0,1,1,1,1,1,1,3,3,1,1,6,6,40_49,4,1,1,Prensalibre,1,0,0,0,0,0,0,0,0,Mas6,4,2,2,40_49,4,1.004,2.361,2,4,0,1
05-02-2557-46,9693083497,53,467405,Ordinaria,1,05285990,18,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,09/09/2000,17,2,1,Rural,12,Doble,33,Anual,1,05-007,2018,2,2,2,1,Hab Ent Lee Esc,1,1,1,1,Mucho,3,0,,0,0,0,0,1,11,0,,0,0,0,0,0,0,0,0,1,3,1,4,Piso_Granito,0,0,0,1,0,0,Block,0,0,0,0,1,0,Terraza_Fundida,0,0,0,0,1,Tuberia,0,0,1,0,Comprada_Embotellada,0,0,0,1,1,1,Gas  Electricidad,0,1,1,0,1,1,1,TELEVISOR REFRIGERADOR EQUIPO_SONIDO VHS_DVD LAVADORA_ROPA SECADORA_ROPA HORNO_MICROONDAS COMPUTADORAS CONSOLA_VIDEOJUEGOS,1,1,1,1,1,1,1,1,1,0,Inodoro,0,0,1,1,Bus_Escolar,0,0,0,0,1,0,16_30,0,1,0,0,0,0,0,0,Propia,0,1,2,0,1,0,0,0,0,3,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,1,Mas6,7,4,4,1,1,1,0,6,6,40_49,4,1,1,Nuestrodiario,0,0,0,1,0,0,0,0,0,1_2,1,Mas6,7,40_49,4,-1.153,-0.502,1,1,0,0
05-02-2557-46,6365568746,53,467414,Ordinaria,1,05188165,18,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,02/01/2001,17,2,1,Rural,12,Doble,33,Anual,1,05-007,2018,2,2,2,1,Hab,1,0,0,0,Mucho,3,0,,0,0,0,0,1,11,0,,0,0,0,0,0,0,0,0,1,3,1,2,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Lamina,0,1,0,0,0,Tuberia,0,0,1,0,Comprada_Embotellada,0,0,0,1,1,1,Leña  Gas,1,1,0,1,1,1,1,TELEVISOR REFRIGERADOR EQUIPO_SONIDO VHS_DVD LAVADORA_ROPA COMPUTADORAS,1,1,1,1,1,0,0,1,0,0,Inodoro,0,0,1,1,Bus_Escolar,0,0,0,0,1,0,M_105,0,0,0,0,0,0,0,1,Propia,0,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,1,1,1,1,1,2,2,1,0,Mas6,7,30_39,3,4,4,Prensalibre,1,0,0,0,0,0,0,0,0,5_6,3,2,2,30_39,3,0.389,0.556,2,3,0,1
05-02-2557-46,5821285483,53,467424,Ordinaria,1,05282870,18,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,01/07/2001,16,1,0,Rural,12,Doble,33,Anual,1,05-007,2018,2,2,2,1,Hab Ent Lee Esc,1,1,1,1,Mucho,3,5,,0,0,0,0,1,11,0,,0,0,0,0,0,0,0,0,1,3,1,3,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Lamina,0,1,0,0,0,Tuberia,0,0,1,0,Comprada_Embotellada,0,0,0,1,1,1,Gas,0,1,0,0,1,1,1,TELEVISOR REFRIGERADOR EQUIPO_SONIDO LAVADORA_ROPA HORNO_MICROONDAS COMPUTADORAS OTROS_ELECTRODOMESTICOS,1,1,1,0,1,0,1,1,0,1,Inodoro,0,0,1,1,Bus_Escolar,0,0,0,0,1,0,31_45,0,0,1,0,0,0,0,0,Propia,0,1,2,0,1,0,0,0,0,5,0,0,0,0,1,0,4,0,0,0,1,0,0,1,1,1,2,2,1,1,1,1,1,1,6,6,40_49,4,1,1,Nuestrodiario,0,0,0,1,0,0,0,0,0,Mas6,4,4,4,40_49,4,0.361,1.228,2,4,0,1
05-02-2557-46,3684327202,53,467441,Ordinaria,1,05528123,18,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,10/09/2000,17,2,0,Rural,12,Doble,33,Anual,1,05-007,2018,2,2,2,1,Hab Ent Lee Esc,1,1,1,1,Mucho,3,0,,0,0,0,0,1,11,0,,0,0,0,0,0,0,0,0,0,0,1,1,Torta_Cemento,0,0,1,0,0,0,Block,0,0,0,0,1,0,Lamina,0,1,0,0,0,Fuente_Natural,1,0,0,0,Natural,1,0,0,0,1,1,Gas,0,1,0,0,1,1,1,TELEVISOR REFRIGERADOR EQUIPO_SONIDO VHS_DVD HORNO_MICROONDAS COMPUTADORAS OTROS_ELECTRODOMESTICOS,1,1,1,1,0,0,1,1,0,1,Inodoro,0,0,1,0,Bus_Escolar,0,0,0,0,1,0,M_105,0,0,0,0,0,0,0,1,Propia,0,1,1,1,0,0,0,0,0,3,0,0,1,0,0,0,5,0,0,0,0,1,0,0,1,1,4,4,3,3,Mas4,5,1,1,6,6,40_49,4,1,1,Prensalibre,1,0,0,0,0,0,0,0,0,Mas6,4,2,2,40_49,4,3.959,3.455,4,4,1,1
05-02-2557-46,7522138136,53,467449,Ordinaria,1,05217041,18,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,16/10/2000,17,2,0,Rural,12,Doble,33,Anual,1,05-007,2018,2,2,2,1,Hab Ent Lee Esc,1,1,1,1,Mucho,3,0,,0,0,0,0,0,12,0,,0,0,0,0,0,0,0,0,1,3,1,3,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Lamina,0,1,0,0,0,Tuberia,0,0,1,0,Comprada_Embotellada,0,0,0,1,1,1,Gas,0,1,0,0,1,1,0,TELEVISOR REFRIGERADOR EQUIPO_SONIDO VHS_DVD LAVADORA_ROPA HORNO_MICROONDAS COMPUTADORAS OTROS_ELECTRODOMESTICOS,1,1,1,1,1,0,1,1,0,1,Inodoro,0,0,1,1,Publico,0,0,0,1,0,0,16_30,0,1,0,0,0,0,0,0,Propia,0,1,2,0,1,0,0,0,0,4,0,0,0,1,0,0,3,0,0,1,0,0,0,0,1,1,2,2,2,2,3,3,1,1,6,6,40_49,4,1,1,Nuestrodiario,0,0,0,1,0,0,0,0,0,5_6,3,2,2,40_49,4,0.57,1.464,2,4,0,1
05-02-2557-46,4250962876,53,467417,Ordinaria,1,05348246,18,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,23/08/2000,17,2,1,Rural,12,Doble,33,Anual,1,05-007,2018,2,2,2,1,Hab Ent Lee Esc,1,1,1,1,Mucho,3,0,,0,0,0,0,1,11,0,,0,0,0,0,0,0,0,0,1,3,1,3,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Lamina,0,1,0,0,0,Tuberia,0,0,1,0,Comprada_Embotellada,0,0,0,1,1,1,Gas,0,1,0,0,1,0,0,TELEVISOR REFRIGERADOR VHS_DVD LAVADORA_ROPA COMPUTADORAS OTROS_ELECTRODOMESTICOS,1,1,0,1,1,0,0,1,0,1,Inodoro,0,0,1,1,Bus_Escolar,0,0,0,0,1,0,0_15,1,0,0,0,0,0,0,0,Alquilada,1,0,1,1,0,0,0,0,0,4,0,0,0,1,0,0,3,0,0,1,0,0,0,0,1,1,2,2,1,1,2,2,1,1,Mas6,7,40_49,4,1,1,Prensalibre,1,0,0,0,0,0,0,0,0,1_2,1,2,2,40_49,4,0.57,0.177,2,2,0,0
05-02-2557-46,5892879355,53,467408,Ordinaria,1,05790292,18,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,13/08/1999,18,3,0,Rural,12,Doble,33,Anual,1,05-007,2018,2,2,2,1,Hab,1,0,0,0,Mucho,3,2,Puedo_Escribir,0,0,1,0,0,11,0,,0,0,0,0,0,0,0,0,0,0,0,0,Piso_Granito,0,0,0,1,0,0,Block,0,0,0,0,1,0,Lamina,0,1,0,0,0,Fuente_Natural,1,0,0,0,Natural,1,0,0,0,1,1,Leña,1,0,0,0,1,0,0,TELEVISOR REFRIGERADOR COMPUTADORAS OTROS_ELECTRODOMESTICOS,1,1,0,0,0,0,0,1,0,1,Inodoro,0,0,1,0,Publico,0,0,0,1,0,0,91_105,0,0,0,0,0,0,1,0,Propia,0,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,1,0,0,0,0,1,1,1,1,1,1,4,4,1,1,6,6,30_39,3,0,0,Prensalibre,1,0,0,0,0,0,0,0,0,Mas6,4,2,2,30_39,3,-0.037,0.466,1,3,0,1
05-02-2557-46,2909022040,53,467419,Ordinaria,1,05482104,18,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,20/12/2000,17,2,1,Rural,12,Doble,33,Anual,1,05-007,2018,2,2,2,1,Hab,1,0,0,0,Mucho,3,0,,0,0,0,0,1,11,0,,0,0,0,0,0,0,1,5,1,3,1,1,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Terraza_Fundida,0,0,0,0,1,Fuente_Natural,1,0,0,0,Comprada_Embotellada,0,0,0,1,1,1,Gas,0,1,0,0,1,1,0,TELEVISOR REFRIGERADOR EQUIPO_SONIDO VHS_DVD LAVADORA_ROPA COMPUTADORAS,1,1,1,1,1,0,0,1,0,0,Inodoro,0,0,1,1,Publico,0,0,0,1,0,0,16_30,0,1,0,0,0,0,0,0,Alquilada,1,0,1,1,0,0,0,0,0,3,0,0,1,0,0,0,3,0,0,1,0,0,0,0,1,1,1,1,1,1,2,2,1,1,5,5,50_59,5,0,0,,0,0,0,0,0,0,0,0,0,Mas6,4,2,2,50_59,5,0.255,0.089,2,2,0,0
05-02-2557-46,5478870133,53,467450,Ordinaria,1,05879151,18,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,21/06/2001,16,1,0,Rural,12,Doble,33,Anual,1,05-007,2018,2,2,2,1,Hab Ent Lee Esc,1,1,1,1,Mucho,3,0,,0,0,0,0,1,11,0,,0,0,0,0,0,0,0,0,1,3,1,4,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Lamina,0,1,0,0,0,Tuberia,0,0,1,0,Comprada_Embotellada,0,0,0,1,1,1,Leña  Gas,1,1,0,0,1,1,1,TELEVISOR REFRIGERADOR EQUIPO_SONIDO VHS_DVD LAVADORA_ROPA HORNO_MICROONDAS COMPUTADORAS CONSOLA_VIDEOJUEGOS,1,1,1,1,1,0,1,1,1,0,Inodoro,0,0,1,1,Bus_Escolar,0,0,0,0,1,0,0_15,1,0,0,0,0,0,0,0,Propia,0,1,1,1,0,0,0,0,0,3,0,0,1,0,0,0,4,0,0,0,1,0,0,0,1,1,Mas6,7,1,1,2,2,1,1,Mas6,7,40_49,4,1,1,Prensalibre,1,0,0,0,0,0,0,0,0,5_6,3,2,2,40_49,4,0.466,1.593,2,4,0,1
05-02-2557-46,0446761185,53,467440,Ordinaria,1,05851127,18,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,29/12/1999,18,3,1,Rural,12,Doble,33,Anual,1,05-007,2018,2,2,2,1,Hab Ent Lee Esc,1,1,1,1,Mucho,3,5,,0,0,0,0,1,11,0,,0,0,0,0,0,0,0,0,1,3,1,4,Torta_Cemento,0,0,1,0,0,0,Block,0,0,0,0,1,0,Lamina,0,1,0,0,0,Fuente_Natural  Tuberia,1,0,1,0,Comprada_Embotellada,0,0,0,1,1,1,Gas,0,1,0,1,1,1,1,TELEVISOR REFRIGERADOR LAVADORA_ROPA COMPUTADORAS,1,1,0,0,1,0,0,1,0,0,Inodoro,0,0,1,0,Publico,0,0,0,1,0,0,16_30,0,1,0,0,0,0,0,0,Propia,0,1,1,1,0,0,0,0,0,4,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,1,2,2,0,0,1,1,1,1,6,6,40_49,4,1,1,Prensalibre,1,0,0,0,0,0,0,0,0,1_2,1,6,6,40_49,4,2.191,2.447,4,4,1,1
05-02-2557-46,1409688942,53,467454,Ordinaria,1,05132342,18,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,04/08/1997,20,5,1,Rural,12,Doble,33,Anual,1,05-007,2018,2,2,2,1,Hab Ent Lee Esc,1,1,1,1,Mucho,3,0,,0,0,0,0,1,11,1,Tercero,0,0,1,0,0,0,1,1,1,3,1,3,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Duralita,0,0,0,1,0,Tuberia,0,0,1,0,Comprada_Embotellada,0,0,0,1,1,1,Gas  Electricidad,0,1,1,1,1,1,0,TELEVISOR REFRIGERADOR EQUIPO_SONIDO VHS_DVD LAVADORA_ROPA SECADORA_ROPA HORNO_MICROONDAS COMPUTADORAS CONSOLA_VIDEOJUEGOS OTROS_ELECTRODOMESTICOS,1,1,1,1,1,1,1,1,1,1,Inodoro,0,0,1,1,Bus_Escolar,0,0,0,0,1,0,61_75,0,0,0,0,1,0,0,0,Propia,0,1,3,0,0,1,0,0,0,5,0,0,0,0,1,0,4,0,0,0,1,0,0,0,1,1,5,5,1,1,2,2,1,1,6,6,40_49,4,5,5,Nuestrodiario,0,0,0,1,0,0,0,0,0,1_2,1,5,5,40_49,4,0.696,0.941,2,4,0,1
